census_year,persons,males,females
"""1901""","""23,83,96,327""","""12,07,91,301""","""11,73,58,672"""
"""1911""","""25,20,93,390""","""12,83,85,368""","""12,37,08,022"""
"""1921""","""25,13,21,213""","""12,85,46,225""","""12,27,74,988"""
"""1931""","""27,89,77,238""","""14,29,29,689""","""13,57,88,921"""
"""1941""","""31,86,60,580""","""16,36,85,302""","""15,46,90,267"""
"""1951""","""36,10,88,090""","""18,55,28,462""","""17,55,59,628"""
"""1961""","""43,92,34,771""","""22,62,93,201""","""21,29,41,570"""
"""1971""","""54,81,59,652""","""28,40,49,276""","""26,41,10,376"""
"""1981""","""68,33,29,097""","""35,33,74,460""","""32,99,54,637"""
"""1991""","""84,64,21,039""","""43,93,58,440""","""40,70,62,599"""
"""2001""","""1,02,87,37,436""","""53,22,23,090""","""49,65,14,346"""
"""2011""","""1,21,08,54,977""","""62,32,70,258""","""58,75,84,719"""